,name,party,photoUrl,office,office_city,state,phone_number,website,email,twitter,facebook
87,Mark Takano,Democratic Party,http://bioguide.congress.gov/bioguide/photo/T/T000472.jpg,U.S. Representative,Washington,California,(202) 225-2305,https://takano.house.gov/,,RepMarkTakano,RepMarkTakano
88,Gavin Newsom,Democratic Party,http://www.ltg.ca.gov/images/newsimages/i2.png,Governor of California,Sacramento,California,(916) 445-2841,https://www.gov.ca.gov/,,CAgovernor,CAgovernor
89,Michael F. Bennet,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001267.jpg,U.S. Senator,Washington,Colorado,(202) 224-5852,https://www.bennet.senate.gov/,,SenatorBennet,senbennetco
90,John W. Hickenlooper,Democratic Party,http://www.colorado.gov/cms/governor/governor-main/images/GovernorHickenlooperInBlueShirt.jpg,U.S. Senator,Washington,Colorado,(202) 224-5941,https://www.hickenlooper.senate.gov/,,SenatorHick,JohnHickenlooper
91,Ed Perlmutter,Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000593.jpg,U.S. Representative,Washington,Colorado,(202) 225-2645,https://perlmutter.house.gov/,,repperlmutter,RepPerlmutter
92,Lauren Boebert,Republican Party,,U.S. Representative,Washington,Colorado,(202) 225-4761,https://boebert.house.gov/,,RepBoebert,RepBoebert
93,Ken Buck,Republican Party,https://buck.house.gov/sites/buck.house.gov/files/wysiwyg_uploaded/Ken-Buck-Official-Photo-1-small_0.jpg,U.S. Representative,Washington,Colorado,(202) 225-4676,https://buck.house.gov/,,RepKenBuck,repkenbuck
94,Doug Lamborn,Republican Party,http://lamborn.house.gov/images/img1.png,U.S. Representative,Washington,Colorado,(202) 225-4422,https://lamborn.house.gov/,,RepDLamborn,CongressmanDougLamborn
95,Jason Crow,Democratic Party,,U.S. Representative,Washington,Colorado,(202) 225-7882,https://crow.house.gov/,,repjasoncrow,RepJasonCrow
96,Diana DeGette,Democratic Party,http://degette.house.gov/sites/degette.house.gov/files/styles/congress_image_medium/public/wysiwyg_uploaded/DLD%20High%20Res%205x7_1.JPG?itok=CuIkDIeB,U.S. Representative,Washington,Colorado,(202) 225-4431,https://degette.house.gov/,,RepDianaDeGette,DianaDeGette
97,Joe Neguse,Democratic Party,,U.S. Representative,Washington,Colorado,(202) 225-2161,https://neguse.house.gov/,,RepJoeNeguse,RepJoeNeguse
98,Jared Polis,Democratic Party,https://bioguide.congress.gov/bioguide/photo/P/P000598.jpg,Governor of Colorado,Denver,Colorado,(303) 866-2471,https://www.colorado.gov/governor/,governorpolis@state.co.us,jaredpolis,jaredpolis
99,Christopher Murphy,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M001169.jpg,U.S. Senator,Washington,Connecticut,(202) 224-4041,https://www.murphy.senate.gov/,,ChrisMurphyCT,senchrismurphy
100,Richard Blumenthal,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001277.jpg,U.S. Senator,Washington,Connecticut,(202) 224-2823,https://www.blumenthal.senate.gov/,,SenBlumenthal,SenBlumenthal
101,John B. Larson,Democratic Party,http://bioguide.congress.gov/bioguide/photo/L/L000557.jpg,U.S. Representative,Washington,Connecticut,(202) 225-2265,https://larson.house.gov/,,repjohnlarson,RepJohnLarson
102,Rosa L. DeLauro,Democratic Party,http://bioguide.congress.gov/bioguide/photo/D/D000216.jpg,U.S. Representative,Washington,Connecticut,(202) 225-3661,https://delauro.house.gov/,,rosadelauro,CongresswomanRosaDeLauro
103,Joe Courtney,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001069.jpg,U.S. Representative,Washington,Connecticut,(202) 225-2076,https://courtney.house.gov/,,repjoecourtney,joecourtney
104,Jahana Hayes,Democratic Party,,U.S. Representative,Washington,Connecticut,(202) 225-4476,https://hayes.house.gov/,,RepJahanaHayes,RepJahanaHayes
105,James A. Himes,Democratic Party,http://bioguide.congress.gov/bioguide/photo/H/H001047.jpg,U.S. Representative,Washington,Connecticut,(202) 225-5541,https://himes.house.gov/,,jahimes,RepJimHimes
106,Ned Lamont,Democratic Party,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/nedlamont.jpg,Governor of Connecticut,Hartford,Connecticut,(860) 566-4840,https://portal.ct.gov/Office-of-the-Governor,,GovNedLamont,GovNedLamont
107,Thomas R. Carper,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C000174.jpg,U.S. Senator,Washington,Delaware,(202) 224-2441,https://www.carper.senate.gov/,,senatorcarper,tomcarper
108,Christopher A. Coons,Democratic Party,https://bioguide.congress.gov/bioguide/photo/C/C001088.jpg,U.S. Senator,Washington,Delaware,(202) 224-5042,https://www.coons.senate.gov/,,SenCoonsOffice,senatorchriscoons
109,Lisa Blunt Rochester,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001303.jpg,U.S. Representative,Washington,Delaware,(202) 225-4165,https://bluntrochester.house.gov/,,RepBRochester,Rep.BluntRochester
110,John Carney,Democratic Party,http://governor.delaware.gov/wp-content/uploads/sites/24/2016/12/Governor-Carney-300x300.jpg,Governor of Delaware,Dover,Delaware,(302) 744-4101,https://governor.delaware.gov/,,johncarneyde,JohnCarneyDE
111,Eleanor Holmes Norton,Democratic Party,http://bioguide.congress.gov/bioguide/photo/N/N000147.jpg,U.S. Representative,Washington,District of Columbia,(202) 225-8050,http://norton.house.gov/,,eleanornorton,CongresswomanNorton
112,Marco Rubio,Republican Party,http://bioguide.congress.gov/bioguide/photo/R/R000595.jpg,U.S. Senator,Washington,Florida,(202) 224-3041,https://www.rubio.senate.gov/,,SenRubioPress,SenatorMarcoRubio
113,Rick Scott,Republican Party,http://www.flgov.com/wp-content/uploads/2013/05/GovernorNEW-682x1024.jpg,U.S. Senator,Washington,Florida,(202) 224-5274,https://www.rickscott.senate.gov/,Rick.scott@eog.myflorida.com,SenRickScott,RickScottSenOffice
114,Neal P. Dunn,Republican Party,https://dunn.house.gov/sites/dunn.house.gov/themes/fortyeight_dunn/logo.png,U.S. Representative,Washington,Florida,(202) 225-5235,https://dunn.house.gov/,,DrNealDunnFL2,DrNealDunnFL2
115,Matt Gaetz,Republican Party,http://bioguide.congress.gov/bioguide/photo/G/G000578.jpg,U.S. Representative,Washington,Florida,(202) 225-4136,https://gaetz.house.gov/,,RepMattGaetz,CongressmanMattGaetz
116,John H. Rutherford,Republican Party,http://bioguide.congress.gov/bioguide/photo/R/R000609.jpg,U.S. Representative,Washington,Florida,(202) 225-2501,https://rutherford.house.gov/,,reprutherfordfl,RepRutherfordFL
117,Kat Cammack,Republican Party,,U.S. Representative,Washington,Florida,(202) 225-5744,https://cammack.house.gov/,,RepKatCammack,RepKatCammack
118,Michael Waltz,Republican Party,,U.S. Representative,Washington,Florida,(202) 225-2706,https://waltz.house.gov/,,RepMichaelWaltz,repmichaelwaltz
119,"Al Lawson, Jr.",Democratic Party,,U.S. Representative,Washington,Florida,(202) 225-0123,https://lawson.house.gov/,,RepAlLawsonJr,RepAlLawsonJr
120,Bill Posey,Republican Party,http://bioguide.congress.gov/bioguide/photo/P/P000599.jpg,U.S. Representative,Washington,Florida,(202) 225-3671,https://posey.house.gov/,,CongBillPosey,Congressman-Bill-Posey-101464786703
121,Stephanie N. Murphy,Democratic Party,,U.S. Representative,Washington,Florida,(202) 225-4035,https://murphy.house.gov/,stephanie.murphy@mail.house.gov,RepStephMurphy,RepStephMurphy
122,Darren Soto,Democratic Party,https://soto.house.gov/sites/soto.house.gov/themes/fortyeight_soto/logo.png,U.S. Representative,Washington,Florida,(202) 225-9889,https://soto.house.gov/,,RepDarrenSoto,CongressmanDarrenSoto
123,Alcee L. Hastings,Democratic Party,http://bioguide.congress.gov/bioguide/photo/H/H000324.jpg,U.S. Representative,Washington,Florida,(202) 225-1313,https://alceehastings.house.gov/,,RepHastingsFL,RepHastingsFL
124,Daniel Webster,Republican Party,http://bioguide.congress.gov/bioguide/photo/W/W000806.jpg,U.S. Representative,Washington,Florida,(202) 225-1002,https://webster.house.gov/,,RepWebster,RepWebster
125,Val Butler Demings,Democratic Party,,U.S. Representative,Washington,Florida,(202) 225-2176,https://demings.house.gov/,,RepValDemings,RepValDemings
126,Charlie Crist,Democratic Party,http://crist.house.gov/images/crist-head.jpg,U.S. Representative,Washington,Florida,(202) 225-5961,https://crist.house.gov/,,RepCharlieCrist,RepCharlieCrist
127,Gus M. Bilirakis,Republican Party,http://bilirakis.house.gov/sites/bilirakis.house.gov/files/documents/official-photo.jpg,U.S. Representative,Washington,Florida,(202) 225-5755,https://bilirakis.house.gov/,,repgusbilirakis,GusBilirakis
128,C. Scott Franklin,Republican Party,,U.S. Representative,Washington,Florida,(202) 225-1252,https://franklin.house.gov/,,RepFranklin,RepFranklin
